lga,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01
ALPINE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARARAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALLARAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,5,8.0,8,9,9,10,11,11,11,11,10,10,10,10,10,11.0,11,11,12,13,16,15,18,18,17,20,22,24,25,26,27,28,24,22,18,13,4,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANYULE,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,8.0,11.0,13.0,18.0,28.0,38.0,42.0,51,63,79,107,110.0,124,122,130,145,140,139,147,153,151,144,144,144,141,146.0,143,136,133,148,148,147,140,137,137,130,127,128,129,127,122,117,116,117,56,55,59,53.0,53.0,50.0,45.0,38.0,33.0,30.0,30.0,28.0,24.0,21.0,18.0,15.0,12.0,11.0,11.0,11.0,8.0,7.0,7.0,7.0,5,4,3,7,7,7,7,7,6,7,7,6,2,2,2,2,1,1,1
BASS COAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3,3,3,2,2.0,2,2,1,1,1,1,1,1,1,2,2,3,4,5.0,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAW BAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3,3,3,3,3.0,3,3,3,4,3,3,3,3,3,3,3,3,3,0.0,3,4,4,6,6,6,6,5,5,5,5,5,6,5,6,6,6,6,3,3,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
BAYSIDE,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0,5,4,5,5,7.0,9,14,15,16,18,23,26,30,30,30,31,37,41,44.0,46,46,85,98,100,105,109,106,104,110,112,110,101,103,110,107,106,105,92,89,81,82.0,79.0,80.0,89.0,78.0,69.0,71.0,72.0,66.0,65.0,68.0,66.0,64.0,62.0,60.0,59.0,56.0,52.0,53.0,32.0,31.0,27,21,21,20,19,17,15,15,16,11,9,6,5,1,1,1,1,1,1
BENALLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOROONDARA,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,4.0,7.0,8.0,8.0,9.0,12.0,12.0,17.0,18.0,23,23,26,31,32.0,35,38,43,46,49,50,52,52,57,58,51,55,60,60.0,61,69,70,71,69,69,65,65,65,67,66,67,67,74,76,83,86,85,52,49,48,46.0,41.0,40.0,38.0,32.0,30.0,29.0,23.0,19.0,18.0,19.0,19.0,14.0,13.0,9.0,10.0,9.0,10.0,9.0,9.0,6.0,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,2,3,4
BRIMBANK,1.0,2.0,2.0,2.0,2.0,4.0,9.0,10.0,11.0,15.0,20.0,21.0,19.0,24.0,29.0,32.0,36.0,40.0,49.0,52.0,49.0,57.0,62.0,77.0,75.0,75.0,82.0,97.0,116.0,127.0,153,156,180,238,240.0,252,271,289,358,411,436,481,515,526,571,603,651,658,684.0,734,749,749,791,813,849,863,878,877,883,893,886,876,856,831,784,750,743,478,401,378,354.0,334.0,300.0,299.0,285.0,283.0,273.0,269.0,250.0,235.0,226.0,222.0,205.0,202.0,199.0,194.0,205.0,204.0,170.0,169.0,157.0,151,132,133,129,123,133,127,103,96,98,95,87,77,74,55,56,50,46,43
